Brand,Battery_Capacity_kWh,Motor_Power_kW,Weight_kg,Max_Charge_Power_kW,Drag_Coefficient,Price_USD,Range_km,Charge_Time_mins
Ford,114.5,151,2711,250,0.33,60627,412,29
Ford,67.2,160,1891,150,0.31,50454,279,26
Nissan,113.7,309,2853,250,0.25,58689,558,29
Kia,40.6,634,2183,250,0.34,65430,156,16
BMW,128.3,257,2806,50,0.31,64438,420,138
Kia,128.6,280,2829,100,0.26,60937,446,71
Mercedes-Benz,49.9,326,2097,350,0.28,47881,204,10
Hyundai,102.2,104,2255,250,0.33,56058,398,21
Chevrolet,56.7,428,2069,350,0.33,63379,246,10
Chevrolet,93.6,745,2551,250,0.3,77992,391,26
Rivian,128.4,691,2962,350,0.23,93014,592,24
Mercedes-Benz,30.2,269,2055,350,0.29,34660,142,13
Porsche,42.5,524,2093,100,0.24,61289,175,25
Kia,60.2,684,2226,50,0.33,79832,337,69
Volkswagen,112.4,155,2227,350,0.27,51371,492,21
Ford,52.0,167,1964,100,0.28,48193,294,31
Mercedes-Benz,104.2,518,2628,100,0.29,69678,371,61
Hyundai,113.5,561,2720,350,0.33,83043,378,19
Mercedes-Benz,123.1,116,2524,100,0.21,52345,495,69
Polestar,94.7,183,2336,150,0.23,52511,485,38
Kia,122.9,516,2855,250,0.26,78032,468,32
Hyundai,96.2,564,2461,150,0.22,74391,372,38
Rivian,54.5,373,2183,50,0.33,60444,211,61
Porsche,82.7,478,2511,250,0.23,71778,409,22
Tesla,84.1,284,2343,150,0.24,61834,452,35
Volkswagen,98.9,284,2323,50,0.33,60595,454,108
Kia,107.7,146,2562,100,0.33,59109,394,58
Tesla,33.3,720,2189,150,0.23,65953,137,16
Rivian,105.9,425,2558,150,0.3,75816,379,43
Rivian,60.9,391,2205,100,0.35,59498,242,38
Tesla,40.3,526,2050,50,0.29,62283,163,45
Mercedes-Benz,60.2,222,2035,50,0.29,47237,299,73
Audi,94.3,228,2275,350,0.28,52107,396,16
Nissan,98.3,508,2637,150,0.32,64605,380,41
Nissan,57.5,245,2161,150,0.34,39083,261,21
Chevrolet,87.3,163,2348,350,0.33,49972,332,19
Porsche,30.4,205,1821,50,0.24,39805,152,36
Polestar,95.2,363,2353,350,0.29,56630,407,17
Audi,80.3,616,2525,350,0.35,68937,270,18
Porsche,56.1,160,1882,250,0.26,45267,210,17
Ford,54.4,298,1985,350,0.27,45380,295,12
Hyundai,80.0,183,2062,150,0.27,52258,390,35
Rivian,111.4,564,2804,150,0.29,77926,352,42
Ford,64.5,212,2211,50,0.23,50146,322,74
Rivian,73.5,441,2322,100,0.2,59692,395,46
Volkswagen,68.3,215,2074,350,0.32,51341,204,13
Volkswagen,35.3,555,2143,350,0.29,60453,100,11
Ford,75.1,567,2360,100,0.21,67669,433,42
Rivian,83.3,510,2547,150,0.22,77695,325,32
Hyundai,60.2,133,2164,100,0.31,37515,263,31
Tesla,101.5,379,2597,50,0.23,67909,378,112
Polestar,30.5,368,1930,350,0.24,46128,147,11
Kia,34.2,234,1816,50,0.2,44894,136,39
Chevrolet,95.0,582,2629,350,0.32,80134,379,18
Nissan,38.1,537,2024,150,0.21,61254,184,18
Porsche,124.1,218,2404,50,0.24,61883,616,134
Porsche,31.4,468,2307,150,0.21,57555,135,16
Nissan,98.4,427,2491,50,0.32,68489,479,108
Porsche,126.2,436,2596,350,0.29,74048,503,24
Audi,84.7,455,2388,350,0.2,60047,353,17
Volkswagen,40.1,505,2061,150,0.34,52475,162,17
Rivian,117.4,182,2556,250,0.24,63351,543,28
Tesla,37.9,224,1899,50,0.25,45679,159,46
Audi,77.2,418,2354,100,0.29,64514,337,45
Porsche,40.7,255,2192,350,0.22,44587,187,10
Volkswagen,62.3,453,2019,50,0.3,60056,284,68
Polestar,106.0,233,2328,250,0.3,53042,414,29
Hyundai,50.5,582,2225,100,0.26,64918,210,29
Nissan,38.2,227,1745,350,0.29,48313,184,10
Chevrolet,128.9,272,2629,350,0.22,65803,576,23
Volkswagen,41.5,482,2174,150,0.26,52990,216,18
Ford,41.2,652,1950,100,0.22,66076,256,26
Kia,70.4,745,2307,150,0.29,78407,277,27
Kia,79.3,700,2343,150,0.21,76083,347,32
Kia,31.0,673,2210,250,0.23,63659,132,10
BMW,69.0,256,2157,350,0.22,55932,315,16
Rivian,55.9,319,2029,100,0.32,56130,269,31
Nissan,107.3,622,2630,100,0.22,75077,413,62
BMW,34.7,214,1769,250,0.21,42627,147,11
BMW,47.4,346,2094,150,0.26,48443,266,18
Chevrolet,104.1,592,2560,100,0.23,78392,439,58
Polestar,31.8,360,2148,350,0.3,48523,181,10
Ford,35.1,661,1974,150,0.25,71066,162,21
Volkswagen,107.5,504,2719,350,0.28,73334,446,22
Hyundai,40.2,448,1906,100,0.27,56985,168,25
Nissan,99.8,290,2564,100,0.25,67103,464,59
Kia,86.6,427,2398,250,0.26,52567,433,23
Nissan,102.8,305,2366,350,0.29,61772,397,20
Tesla,37.7,377,2229,100,0.3,53901,165,23
Porsche,101.7,449,2375,50,0.23,71454,430,110
Kia,112.5,371,2458,350,0.35,64861,527,21
Polestar,86.9,698,2548,50,0.34,88144,332,94
Ford,88.2,331,2440,50,0.32,61882,313,98
Rivian,119.0,490,2650,150,0.33,71973,443,49
Audi,71.4,587,2485,50,0.35,59098,241,77
Rivian,74.0,456,2357,50,0.3,54240,349,82
Nissan,34.8,328,1870,250,0.23,50248,155,12
Volkswagen,106.2,428,2561,150,0.25,64042,446,42
Porsche,56.8,484,2343,150,0.24,66052,229,27
Volkswagen,41.5,181,1749,150,0.3,33801,195,18
BMW,114.1,747,2730,50,0.2,83918,631,124
Polestar,34.1,325,2024,50,0.34,46094,155,39
Polestar,124.7,572,2880,100,0.27,82238,505,72
Tesla,41.7,443,2079,100,0.25,53851,180,25
Nissan,68.4,375,2179,50,0.24,50519,316,74
Hyundai,43.1,341,1950,50,0.35,42128,179,51
Chevrolet,98.3,134,2399,50,0.33,49106,411,109
Ford,50.9,449,2206,350,0.32,58588,242,14
Polestar,122.6,105,2653,50,0.24,50508,559,137
Rivian,127.1,463,2772,50,0.21,72649,400,143
Tesla,61.7,414,2087,50,0.2,57286,342,67
Mercedes-Benz,58.3,672,2471,100,0.29,73008,274,33
Hyundai,64.1,585,2485,250,0.27,64185,265,17
Audi,86.9,673,2557,50,0.27,71578,325,98
Tesla,104.9,277,2325,250,0.24,63966,488,31
Nissan,51.2,438,1959,250,0.28,58941,230,15
Mercedes-Benz,35.7,537,2104,100,0.31,59057,127,26
Kia,70.6,415,2404,250,0.24,57823,313,17
Nissan,43.8,532,2277,100,0.34,63600,163,24
Rivian,75.0,591,2392,150,0.21,65366,370,30
Porsche,115.9,157,2566,100,0.27,68818,358,66
Volkswagen,62.1,187,2151,50,0.32,44476,229,69
BMW,104.4,198,2413,50,0.3,67811,458,115
Kia,85.5,442,2285,150,0.2,56185,475,37
Mercedes-Benz,84.3,147,2169,150,0.32,40100,278,33
Rivian,96.2,331,2374,250,0.23,57545,490,24
Chevrolet,96.1,687,2695,250,0.27,74562,305,25
Volkswagen,76.9,484,2497,350,0.28,58889,328,18
Hyundai,86.3,713,2519,100,0.33,81227,279,51
Chevrolet,116.2,410,2473,50,0.29,68383,426,126
Mercedes-Benz,58.0,203,2150,350,0.24,48889,271,10
Chevrolet,58.7,578,2284,100,0.22,57933,292,30
Nissan,117.5,710,2862,250,0.33,82193,373,27
Mercedes-Benz,61.7,403,2132,50,0.21,60362,316,71
Tesla,103.9,377,2301,350,0.28,71595,448,20
Tesla,53.6,706,2324,250,0.28,68087,258,14
BMW,126.2,288,2591,100,0.21,57077,603,73
Hyundai,58.9,480,2370,100,0.21,57282,269,30
Rivian,73.2,350,2276,150,0.32,60805,262,30
Rivian,52.6,667,2197,250,0.25,71541,239,15
Chevrolet,72.8,576,2379,100,0.33,64987,236,44
BMW,33.0,106,1823,100,0.2,37614,156,24
Mercedes-Benz,123.0,349,2871,100,0.27,66028,494,73
Audi,33.8,518,2098,150,0.26,61559,126,19
BMW,91.5,367,2530,250,0.33,66817,358,24
Mercedes-Benz,70.3,521,2420,100,0.21,64927,352,40
Rivian,86.9,348,2435,350,0.32,56844,373,18
Tesla,118.2,195,2476,150,0.27,64310,547,41
Polestar,80.9,307,2404,150,0.34,57981,321,34
Mercedes-Benz,96.0,406,2514,50,0.28,67058,354,104
Porsche,97.2,430,2554,50,0.34,57149,382,105
Porsche,110.5,339,2587,50,0.24,62789,514,122
Tesla,33.9,221,1948,50,0.26,40538,168,42
Volkswagen,54.1,235,2125,100,0.23,46673,255,33
Chevrolet,119.4,248,2568,250,0.32,59511,485,27
Porsche,58.4,480,2073,250,0.34,61508,302,18
Porsche,45.1,706,2474,50,0.3,63846,205,51
Hyundai,82.7,704,2329,100,0.33,71933,280,44
Rivian,58.4,383,1927,350,0.22,55787,279,10
Chevrolet,82.2,108,2276,250,0.29,42642,339,26
Nissan,73.3,414,2415,250,0.2,61369,398,19
BMW,75.2,128,2055,350,0.21,47006,330,15
Nissan,61.3,415,2243,50,0.24,59112,287,69
Ford,98.8,202,2324,50,0.2,54628,502,108
Kia,117.9,366,2781,50,0.21,67749,418,127
Rivian,85.4,442,2471,350,0.32,68946,388,16
Kia,80.6,150,2302,250,0.3,54822,292,21
Chevrolet,81.8,400,2430,100,0.21,71603,298,49
Hyundai,116.0,397,2513,250,0.24,66676,552,27
Mercedes-Benz,129.2,600,2834,50,0.35,66516,381,138
Chevrolet,89.3,346,2198,50,0.24,60760,458,98
Nissan,43.1,598,2048,100,0.21,49240,200,27
Chevrolet,68.3,616,2311,100,0.23,64224,286,40
Polestar,40.7,165,1910,350,0.22,40578,207,10
Mercedes-Benz,106.5,285,2491,150,0.25,64807,570,42
Ford,111.9,688,2747,150,0.32,75435,350,42
Nissan,115.3,694,2782,100,0.34,88170,370,63
Tesla,97.0,100,2281,100,0.25,49119,376,55
Ford,96.0,380,2419,350,0.31,65812,478,16
Porsche,84.5,284,2279,50,0.21,57561,419,96
Polestar,66.4,515,2364,50,0.26,68296,301,72
Nissan,70.2,198,2310,150,0.25,52072,301,28
Kia,53.3,495,2165,250,0.31,53895,234,16
Porsche,48.8,136,1961,50,0.28,50815,193,52
Chevrolet,85.7,519,2418,150,0.27,71566,311,34
Tesla,95.5,353,2502,350,0.27,63210,337,19
BMW,59.8,374,2232,350,0.22,47131,268,16
Porsche,98.4,426,2555,100,0.3,75286,400,55
Mercedes-Benz,48.3,483,2033,250,0.31,51476,210,16
BMW,87.2,362,2255,250,0.27,59856,349,22
Mercedes-Benz,55.4,636,2176,350,0.3,67062,239,12
Audi,74.4,222,2111,350,0.26,57197,352,14
Ford,51.6,219,2145,100,0.23,44337,215,30
Rivian,107.5,392,2613,50,0.24,54081,462,117
Chevrolet,97.7,423,2632,350,0.35,61519,318,17
Tesla,114.6,497,2772,250,0.3,72957,413,31
Tesla,79.7,533,2513,100,0.28,65439,326,46
Mercedes-Benz,97.9,373,2479,250,0.34,60557,403,26
Audi,90.4,427,2359,50,0.23,59117,458,99
Rivian,98.1,264,2432,250,0.23,57479,490,24
Nissan,84.9,586,2629,50,0.21,73488,336,97
Mercedes-Benz,91.3,480,2679,350,0.22,69724,417,14
Volkswagen,49.6,637,2298,350,0.26,70817,222,10
Nissan,100.4,714,2833,50,0.29,96980,304,109
Rivian,112.2,118,2546,350,0.22,51448,515,20
Nissan,92.2,559,2444,250,0.29,76457,308,24
Hyundai,102.0,539,2706,150,0.28,81080,381,40
Tesla,74.4,713,2404,100,0.35,77064,343,41
Tesla,121.4,646,2670,50,0.23,85765,442,131
Polestar,33.9,515,1965,150,0.3,56793,191,16
Ford,41.3,474,2163,350,0.29,49427,176,13
Volkswagen,85.7,681,2407,50,0.28,72617,324,91
Hyundai,119.0,470,2702,150,0.32,74731,433,44
Volkswagen,102.6,647,2539,50,0.2,85163,409,113
Mercedes-Benz,62.2,733,2317,100,0.28,77107,321,41
Audi,104.0,424,2466,250,0.25,70312,412,27
Porsche,76.2,649,2448,250,0.24,70237,314,21
Audi,34.9,120,1994,150,0.2,29488,176,15
Rivian,37.2,720,2109,150,0.3,65427,155,17
Tesla,30.5,586,2020,150,0.28,61565,109,15
Hyundai,81.6,572,2366,250,0.22,65616,349,26
Porsche,34.6,108,1962,250,0.28,37835,184,13
Ford,49.6,498,2192,350,0.26,63953,266,10
Volkswagen,114.0,521,2633,50,0.24,71865,367,126
Rivian,75.6,120,2322,50,0.3,44592,262,86
Mercedes-Benz,32.4,477,1849,250,0.29,59507,141,12
Hyundai,128.6,304,2616,250,0.26,58549,604,31
Chevrolet,40.3,380,2021,250,0.29,54374,142,13
Ford,71.2,572,2368,350,0.33,66593,195,13
Nissan,33.6,443,1879,50,0.27,50683,148,39
Audi,112.1,499,2686,150,0.33,69866,416,45
Chevrolet,79.6,373,2180,50,0.33,59772,288,86
Porsche,61.6,732,2332,100,0.26,79765,318,35
Tesla,83.6,453,2279,250,0.26,64511,458,20
Chevrolet,40.5,634,2049,150,0.34,68782,216,17
Chevrolet,74.2,418,2349,50,0.26,66174,326,78
Volkswagen,110.3,128,2378,150,0.25,57837,522,45
Tesla,98.0,495,2501,350,0.22,65086,532,16
Nissan,61.6,304,2201,150,0.33,50497,274,26
Hyundai,62.4,735,2360,150,0.28,63086,221,28
Rivian,94.8,236,2336,50,0.26,56464,415,104
Mercedes-Benz,64.6,211,2145,150,0.32,51690,265,29
Hyundai,128.3,514,2798,150,0.34,77289,385,49
Rivian,57.1,623,2407,150,0.23,66362,293,23
Kia,96.0,189,2509,350,0.24,50250,371,17
Nissan,59.2,558,2162,150,0.21,71247,317,26
Mercedes-Benz,39.2,538,2013,100,0.33,54303,198,26
Volkswagen,60.0,622,2384,100,0.27,60969,233,36
Ford,112.6,247,2477,150,0.25,58690,419,44
Chevrolet,57.1,655,2298,50,0.27,66060,251,63
Tesla,117.0,190,2614,50,0.22,61225,535,129
Chevrolet,63.6,252,2412,250,0.24,61049,214,17
Ford,43.0,565,1972,100,0.3,70786,193,29
Rivian,78.6,303,2243,250,0.33,61434,326,16
Nissan,54.0,342,2076,250,0.29,46214,248,15
Tesla,54.8,624,2191,150,0.32,75667,249,24
Hyundai,98.5,181,2374,150,0.2,59302,350,37
Chevrolet,47.2,444,2187,150,0.35,55115,157,20
Porsche,116.7,251,2508,50,0.29,62495,449,126
Polestar,69.6,726,2239,100,0.26,84146,315,40
Kia,60.4,698,2375,50,0.24,81382,244,67
Ford,68.5,361,2206,50,0.34,51129,243,76
Chevrolet,59.8,514,2291,50,0.24,66338,247,67
Rivian,32.0,187,1778,100,0.26,43835,180,18
Polestar,98.4,101,2169,50,0.34,47877,463,106
Porsche,60.5,202,2138,350,0.33,48788,222,16
BMW,102.7,703,2606,350,0.23,79027,441,18
Kia,72.3,102,2157,350,0.29,49349,248,13
Nissan,34.9,103,1897,100,0.3,31079,154,25
Hyundai,96.8,126,2466,250,0.35,57002,358,24
Audi,79.8,409,2392,250,0.2,65821,340,24
Kia,111.5,421,2501,50,0.26,67363,506,118
Rivian,97.2,683,2735,350,0.35,75285,322,20
BMW,113.0,721,2666,350,0.32,81005,472,18
Chevrolet,105.8,615,2604,100,0.35,75921,441,58
Rivian,115.8,421,2676,50,0.27,72636,415,128
Hyundai,73.2,610,2530,250,0.34,72721,203,21
BMW,42.5,117,1950,250,0.33,33594,164,13
Hyundai,77.0,443,2241,50,0.32,48285,298,87
Ford,95.1,729,2609,150,0.22,83040,430,35
Ford,47.1,247,2155,150,0.22,47462,175,19
Tesla,55.8,419,2074,350,0.21,50979,287,14
Audi,110.7,338,2774,100,0.33,65307,387,63
Hyundai,54.2,431,2057,150,0.35,52795,180,24
Porsche,45.0,471,2045,250,0.23,55854,195,13
Polestar,34.6,273,1642,350,0.27,37671,172,10
Hyundai,35.3,452,1949,100,0.23,60084,211,24
Audi,93.6,574,2455,50,0.23,73430,453,105
Polestar,125.3,165,2744,150,0.29,58912,553,51
Volkswagen,125.6,101,2569,250,0.31,47301,478,31
BMW,38.6,619,2126,50,0.27,54785,153,43
Kia,122.7,532,2849,50,0.29,78743,491,133
Audi,115.7,131,2383,250,0.24,47691,577,24
Hyundai,96.1,170,2545,150,0.32,59891,380,40
Porsche,45.2,214,1997,250,0.34,45704,232,13
Audi,95.9,358,2587,250,0.22,52216,408,24
Nissan,107.2,638,2763,350,0.26,74194,400,20
Hyundai,74.8,278,2080,250,0.23,47471,287,17
BMW,57.0,599,2354,50,0.22,73441,262,64
Chevrolet,114.7,106,2552,150,0.2,53236,480,41
Rivian,116.1,200,2518,250,0.27,58009,443,26
Porsche,71.8,692,2540,250,0.33,71649,265,22
Kia,97.4,243,2240,50,0.28,56693,457,109
Rivian,112.7,376,2494,50,0.27,57917,424,122
Hyundai,49.7,368,2243,250,0.27,53086,200,16
Rivian,45.6,672,2004,150,0.33,82524,163,20
Chevrolet,36.0,311,2023,100,0.29,43224,141,26
Chevrolet,61.6,156,2007,250,0.2,44297,281,16
Tesla,122.8,638,2882,50,0.3,85647,471,133
Polestar,102.4,623,2728,350,0.31,77288,334,22
BMW,102.4,362,2506,250,0.23,61499,427,26
Audi,75.4,350,2273,50,0.22,55080,331,82
Ford,103.4,120,2309,50,0.22,47869,474,111
BMW,125.8,655,2761,50,0.26,79831,416,137
Nissan,46.4,622,2258,50,0.2,65322,201,51
Volkswagen,100.5,320,2431,250,0.25,59947,396,27
Audi,31.6,176,1719,350,0.22,40962,166,13
Nissan,62.3,115,1686,100,0.27,44447,299,38
Audi,114.1,369,2596,350,0.28,67258,468,20
BMW,95.5,561,2365,150,0.24,70938,453,39
Mercedes-Benz,83.4,647,2385,350,0.25,74119,420,18
Volkswagen,60.9,290,2193,50,0.29,52830,278,69
Ford,129.2,524,2807,100,0.34,86813,419,71
Audi,51.4,141,2172,150,0.32,50131,252,24
Mercedes-Benz,99.2,514,2355,350,0.23,68408,390,19
Mercedes-Benz,74.3,122,2254,100,0.2,39841,329,42
Ford,47.5,651,2166,250,0.2,67744,207,12
Volkswagen,62.5,202,2151,350,0.29,51964,210,14
Kia,51.6,154,2063,50,0.28,55848,247,60
Polestar,91.5,638,2582,50,0.22,72141,342,101
Kia,90.9,518,2435,350,0.3,66154,418,19
Mercedes-Benz,116.4,607,2571,350,0.23,71471,541,23
Rivian,115.3,271,2588,150,0.27,70256,466,46
Volkswagen,48.7,376,2269,50,0.26,58646,217,54
Mercedes-Benz,94.4,316,2549,150,0.31,66583,379,34
Chevrolet,124.3,631,2658,150,0.3,78723,541,49
Nissan,123.2,693,2956,250,0.31,79154,538,27
Nissan,46.2,176,2161,50,0.24,42820,183,54
Nissan,40.1,667,2263,100,0.28,73350,122,24
Porsche,32.2,438,2110,350,0.3,62269,100,10
Kia,69.7,471,2202,250,0.35,61651,281,20
Volkswagen,52.0,230,1978,100,0.24,44731,283,33
Mercedes-Benz,72.3,436,2362,100,0.32,55752,334,40
Mercedes-Benz,63.1,590,2214,350,0.33,68215,242,13
Audi,81.3,666,2397,250,0.34,82323,341,22
Chevrolet,42.5,222,2008,350,0.32,44815,193,10
Volkswagen,53.9,127,2063,150,0.27,47085,252,22
Tesla,118.0,724,2837,150,0.3,79118,494,46
BMW,85.2,529,2528,100,0.32,72696,350,53
Rivian,81.1,577,2260,50,0.21,72488,343,91
Nissan,79.6,209,2127,150,0.3,43611,306,32
Kia,93.8,599,2590,350,0.24,71724,357,19
Hyundai,33.0,600,2001,50,0.24,68488,137,39
Chevrolet,72.9,365,2299,100,0.27,63787,288,45
Porsche,113.7,160,2508,250,0.28,54602,448,29
Nissan,89.9,409,2622,150,0.26,69697,372,32
Kia,83.7,692,2686,350,0.3,73554,261,18
Polestar,122.7,361,2636,50,0.22,65296,580,132
Nissan,40.1,422,2071,350,0.26,46375,163,10
Mercedes-Benz,75.0,229,2198,250,0.31,54470,312,20
Kia,46.9,603,2248,250,0.27,66995,253,16
Chevrolet,59.6,282,2072,100,0.3,51204,229,37
Tesla,32.4,151,1846,350,0.28,47062,167,11
Audi,70.4,243,2479,100,0.29,50885,341,39
Chevrolet,124.3,164,2578,250,0.32,66009,405,30
Kia,46.5,328,1953,150,0.28,58175,189,22
Audi,94.9,571,2541,100,0.29,72180,394,52
Kia,114.4,215,2495,50,0.27,61441,503,127
Hyundai,89.0,551,2365,150,0.3,74856,423,36
Chevrolet,41.2,326,1967,250,0.31,52375,230,13
Rivian,82.0,639,2398,350,0.23,74061,339,19
Rivian,88.1,607,2589,150,0.33,76120,294,31
Nissan,117.9,628,2533,350,0.27,87152,523,20
Porsche,106.4,450,2583,150,0.3,64454,366,38
Kia,39.6,293,1911,250,0.23,51481,171,15
Rivian,60.5,682,2449,350,0.2,76082,302,11
Nissan,112.9,634,2925,150,0.31,74551,324,46
BMW,30.1,564,1961,250,0.2,60581,150,15
Kia,44.6,222,1988,250,0.21,42115,250,14
Nissan,103.6,416,2312,350,0.3,63726,440,20
Chevrolet,59.1,499,2191,350,0.31,56682,319,15
Mercedes-Benz,47.9,520,2101,100,0.21,60757,189,28
Kia,47.9,116,1978,50,0.24,40685,216,53
Tesla,92.4,222,2528,50,0.23,50185,386,98
Mercedes-Benz,119.1,161,2394,350,0.25,61855,483,25
Porsche,33.4,485,1956,250,0.27,58979,127,11
Tesla,124.6,576,2780,100,0.24,78906,430,72
Rivian,113.3,146,2513,150,0.25,61528,601,44
Ford,117.2,201,2536,50,0.21,62853,410,129
Rivian,45.7,719,2054,150,0.22,75972,193,17
Rivian,74.6,246,2161,100,0.26,52066,290,39
Audi,48.7,691,2382,100,0.27,69459,226,29
Mercedes-Benz,54.6,687,2277,150,0.35,67694,241,22
Audi,49.0,387,2068,350,0.26,46720,230,12
Nissan,68.5,202,2108,350,0.3,45597,314,16
Kia,31.9,384,1945,50,0.3,49132,138,36
Chevrolet,83.1,483,2289,350,0.28,64746,384,20
Audi,86.3,714,2600,100,0.24,83936,328,49
Tesla,104.5,130,2233,150,0.29,53204,493,44
Polestar,46.0,358,2107,150,0.28,53193,210,16
Rivian,76.2,368,2423,150,0.2,64289,322,28
Hyundai,50.7,685,2146,50,0.32,73855,207,59
Mercedes-Benz,80.2,727,2569,250,0.27,75940,327,21
Kia,72.2,195,2137,150,0.24,48114,344,28
Ford,107.9,269,2651,350,0.34,59049,374,20
BMW,56.8,647,2366,150,0.29,70934,239,21
Rivian,64.9,535,2371,350,0.34,61451,283,16
Chevrolet,52.2,275,2088,50,0.2,45087,234,61
Audi,93.4,594,2676,250,0.24,70436,445,22
Audi,109.4,402,2592,350,0.26,73195,448,19
Audi,80.2,113,2332,50,0.31,46171,311,92
BMW,122.6,519,2811,50,0.23,82565,492,131
Volkswagen,55.6,485,2216,100,0.28,60997,255,34
BMW,32.2,426,2057,350,0.31,60079,104,10
Ford,87.5,358,2375,50,0.3,62620,396,95
Kia,41.8,747,2164,100,0.31,68779,204,24
Chevrolet,30.7,128,1911,50,0.35,43178,125,36
Ford,86.1,315,2365,50,0.28,56920,368,97
Mercedes-Benz,47.5,285,2015,100,0.31,40144,186,28
BMW,67.2,568,2111,100,0.28,62710,338,42
Volkswagen,51.5,230,1969,100,0.32,49055,258,32
Rivian,113.1,127,2462,150,0.26,59647,463,45
Audi,31.8,182,2031,150,0.27,42959,129,15
Ford,60.5,453,2212,50,0.28,58651,251,66
Volkswagen,125.3,350,2645,100,0.27,72400,556,67
Audi,63.1,275,1857,100,0.28,41995,333,36
Rivian,105.7,533,2553,250,0.35,68910,436,29
Ford,41.0,587,2112,250,0.27,57868,149,10
Audi,90.3,302,2402,50,0.33,64766,280,98
Tesla,77.1,632,2298,250,0.23,71059,334,21
Kia,94.4,595,2598,50,0.33,63170,371,104
Polestar,71.7,464,2353,100,0.23,64036,324,43
BMW,50.8,302,2131,250,0.28,51945,209,18
Polestar,41.7,339,2008,50,0.32,53741,193,47
Ford,64.1,222,1874,100,0.34,44222,343,38
Polestar,44.8,524,2232,100,0.33,71432,189,27
Volkswagen,35.7,736,2192,100,0.2,76208,181,22
Kia,101.6,370,2419,250,0.25,63402,483,25
Tesla,60.3,274,2165,100,0.35,45710,252,38
Kia,64.1,452,2348,50,0.28,66333,298,73
Polestar,39.4,590,2191,150,0.35,61317,201,18
Audi,90.1,543,2421,250,0.27,67871,497,23
Volkswagen,33.2,405,1986,350,0.26,59380,186,10
Porsche,114.5,412,2612,250,0.27,63643,361,29
Porsche,113.4,459,2439,100,0.27,65589,517,63
Tesla,74.5,667,2389,50,0.28,82878,302,81
Audi,74.6,367,2169,100,0.26,58180,373,46
Nissan,31.3,374,2137,250,0.23,46366,153,11
Chevrolet,101.7,488,2620,250,0.33,76411,404,27
Audi,77.8,428,2380,100,0.33,56746,323,45
Rivian,102.5,727,2786,350,0.33,89913,375,22
Tesla,56.2,433,2252,150,0.27,58127,221,20
Polestar,61.8,273,1952,50,0.22,50137,323,69
Kia,48.4,238,1913,50,0.31,48724,191,54
Chevrolet,127.9,157,2722,150,0.21,60627,505,51
Rivian,129.7,396,2815,50,0.22,65669,593,140
Polestar,95.8,674,2637,250,0.25,78621,427,22
Kia,114.6,692,2742,100,0.24,83916,482,65
Rivian,71.7,293,2202,50,0.34,67143,294,76
BMW,38.0,613,2244,50,0.32,54343,142,45
BMW,88.0,157,2325,100,0.21,49594,351,53
Tesla,73.5,417,2300,100,0.28,59669,335,41
Porsche,37.2,611,2260,100,0.32,63675,152,22
Chevrolet,116.8,101,2601,250,0.29,53446,411,31
BMW,129.8,420,2840,100,0.28,76692,533,74
Kia,116.2,680,2738,350,0.25,89168,427,22
Hyundai,84.5,133,2241,100,0.25,52817,292,46
Kia,57.9,203,2017,150,0.29,43313,247,24
Nissan,59.5,225,2162,350,0.3,49403,241,10
Kia,78.0,584,2350,350,0.25,70945,302,16
Polestar,129.0,528,2728,150,0.28,81141,378,52
Kia,127.3,273,2579,50,0.21,58083,663,137
Mercedes-Benz,44.5,477,1995,350,0.28,52469,290,10
Audi,66.1,619,2598,50,0.22,68224,305,77
Polestar,125.9,577,2787,50,0.3,84319,432,134
Rivian,32.6,617,2226,150,0.22,58048,201,17
BMW,106.7,567,2750,350,0.31,77789,356,17
Porsche,108.0,314,2582,250,0.23,62879,361,28
Chevrolet,88.3,146,2266,350,0.33,55283,356,17
Mercedes-Benz,89.7,378,2342,50,0.29,56279,372,99
Hyundai,116.5,292,2460,350,0.26,58554,427,22
Nissan,81.0,168,2189,100,0.22,53331,426,47
Ford,64.3,398,2201,100,0.25,57679,294,38
Porsche,31.0,540,1893,350,0.33,61119,131,10
Chevrolet,94.0,422,2591,350,0.31,60447,480,18
Mercedes-Benz,51.1,716,2142,100,0.26,69503,218,28
Porsche,64.8,353,2243,250,0.26,55901,300,17
Volkswagen,95.4,644,2439,100,0.29,81674,377,58
Nissan,125.9,388,2585,150,0.31,56353,454,48
Porsche,124.5,239,2659,150,0.25,55799,520,49
Rivian,57.5,574,2284,100,0.31,73577,268,33
Volkswagen,30.3,259,1814,50,0.23,45446,148,34
Volkswagen,125.1,488,2839,50,0.34,71754,471,132
Audi,37.1,619,2187,100,0.22,62493,167,22
Hyundai,113.3,312,2552,150,0.3,62608,440,44
Ford,119.8,257,2631,250,0.2,62073,526,27
Rivian,56.8,653,2123,350,0.26,75902,220,10
Hyundai,90.4,194,2361,350,0.32,50447,357,17
Nissan,34.4,588,2026,350,0.3,56504,135,11
Rivian,85.8,523,2489,350,0.24,64070,318,16
Tesla,88.8,329,2287,100,0.23,61953,405,50
Mercedes-Benz,104.9,616,2732,150,0.25,78487,438,43
Rivian,64.4,611,2297,350,0.26,63205,334,15
Kia,64.9,596,2290,150,0.34,70180,223,24
Hyundai,62.1,331,2300,150,0.32,57200,299,26
Audi,102.2,533,2558,250,0.22,72496,391,29
